Prior[0] 0.500390808191 Prior[1] 0.499609191809
writings 0 0.000624414611302 1 0.000312695434647
foul 0 0.000624414611302 1 0.000625390869293
four 0 0.00374648766781 1 0.00406504065041
woods 0 0.000624414611302 1 0.000625390869293
clotted 0 0.000624414611302 1 0.000312695434647
spiders 0 0.000624414611302 1 0.000312695434647
hanging 0 0.000624414611302 1 0.000625390869293
conjuring 0 0.000312207305651 1 0.000625390869293
woody 0 0.00249765844521 1 0.00093808630394
comically 0 0.000624414611302 1 0.00125078173859
payoff 0 0.00156103652825 1 0.000625390869293
grenier 0 0.000312207305651 1 0.000625390869293
hennings 0 0.000312207305651 1 0.000625390869293
augustine 0 0.000312207305651 1 0.000625390869293
pompeo 0 0.000312207305651 1 0.000625390869293
wizardry 0 0.000624414611302 1 0.000312695434647
originality 0 0.00187324383391 1 0.00281425891182
superficially 0 0.000312207305651 1 0.00125078173859
xtc 0 0.000624414611302 1 0.000312695434647
lord 0 0.000624414611302 1 0.00093808630394
immature 0 0.000936621916953 1 0.000625390869293
deli 0 0.000624414611302 1 0.000312695434647
oceans 0 0.000624414611302 1 0.000312695434647
pierce 0 0.000312207305651 1 0.000625390869293
tantalizing 0 0.000312207305651 1 0.000625390869293
yellow 0 0.000936621916953 1 0.000625390869293
screaming 0 0.0012488292226 1 0.000625390869293
boogaloo 0 0.000624414611302 1 0.000625390869293
disturb 0 0.000312207305651 1 0.00093808630394
grueling 0 0.000312207305651 1 0.000625390869293
wooden 0 0.00156103652825 1 0.000312695434647
br�l�e 0 0.000624414611302 1 0.000312695434647
wednesday 0 0.000624414611302 1 0.000312695434647
peerlessly 0 0.000312207305651 1 0.000625390869293
standout 0 0.000312207305651 1 0.000625390869293
succession 0 0.000936621916953 1 0.000312695434647
stereotypical 0 0.00156103652825 1 0.00093808630394
straight 0 0.00530752419607 1 0.00125078173859
asian 0 0.000312207305651 1 0.00218886804253
annie 0 0.000624414611302 1 0.000312695434647
sturm 0 0.000624414611302 1 0.000625390869293
esos 0 0.000312207305651 1 0.000625390869293
tired 0 0.00593193880737 1 0.00125078173859
miller 0 0.000936621916953 1 0.00156347717323
railing 0 0.000624414611302 1 0.000312695434647
bacon 0 0.000624414611302 1 0.000312695434647
pulse 0 0.000936621916953 1 0.00125078173859
elegant 0 0.000624414611302 1 0.00156347717323
second 0 0.00468310958476 1 0.00406504065041
valiant 0 0.000312207305651 1 0.000625390869293
shrugging 0 0.000312207305651 1 0.00093808630394
sterile 0 0.000624414611302 1 0.000625390869293
loathing 0 0.000312207305651 1 0.00125078173859
wilson 0 0.00156103652825 1 0.000625390869293
errors 0 0.000624414611302 1 0.00093808630394
ruthless 0 0.000936621916953 1 0.000625390869293
cooking 0 0.000312207305651 1 0.000625390869293
contributed 0 0.000312207305651 1 0.000625390869293
fingers 0 0.000312207305651 1 0.00093808630394
negated 0 0.000624414611302 1 0.000312695434647
increasing 0 0.000312207305651 1 0.00093808630394
succumb 0 0.000936621916953 1 0.000312695434647
shocks 0 0.000936621916953 1 0.000625390869293
insinuation 0 0.000624414611302 1 0.000312695434647
hero 0 0.00374648766781 1 0.00343964978111
avert 0 0.000312207305651 1 0.000625390869293
suge 0 0.000312207305651 1 0.000625390869293
error 0 0.000624414611302 1 0.000312695434647
here 0 0.0146737433656 1 0.00969355847405
herd 0 0.000624414611302 1 0.000312695434647
china 0 0.000312207305651 1 0.00218886804253
cult 0 0.0012488292226 1 0.00250156347717
shandling 0 0.000312207305651 1 0.000625390869293
shriek 0 0.000624414611302 1 0.000312695434647
ongs 0 0.000312207305651 1 0.000625390869293
doldrums 0 0.0012488292226 1 0.000625390869293
kids 0 0.00874180455823 1 0.00906816760475
uplifting 0 0.000312207305651 1 0.00156347717323
unwillingness 0 0.000936621916953 1 0.000312695434647
pretensions 0 0.0012488292226 1 0.00093808630394
k 0 0.00249765844521 1 0.00187617260788
tamb閙 0 0.000312207305651 1 0.000625390869293
reports 0 0.000624414611302 1 0.000312695434647
controversy 0 0.000936621916953 1 0.00125078173859
kidd 0 0.000624414611302 1 0.000312695434647
dimness 0 0.000624414611302 1 0.000312695434647
military 0 0.000312207305651 1 0.00125078173859
shmear 0 0.000312207305651 1 0.000625390869293
appropriately 0 0.000936621916953 1 0.00093808630394
divide 0 0.0012488292226 1 0.000625390869293
malles 0 0.000624414611302 1 0.000312695434647
flotsam 0 0.000624414611302 1 0.000625390869293
brought 0 0.0012488292226 1 0.00187617260788
unanswered 0 0.000624414611302 1 0.000312695434647
stern 0 0.000624414611302 1 0.000312695434647
sailboaters 0 0.000624414611302 1 0.000312695434647
battista 0 0.000312207305651 1 0.000625390869293
scarier 0 0.000936621916953 1 0.000312695434647
slivers 0 0.000312207305651 1 0.000625390869293
presents 0 0.0012488292226 1 0.00250156347717
fingernails 0 0.000624414611302 1 0.000312695434647
insecurity 0 0.000312207305651 1 0.00125078173859
handedness 0 0.000936621916953 1 0.000625390869293
cannibal 0 0.000312207305651 1 0.000625390869293
greenfingers 0 0.000312207305651 1 0.000625390869293
music 0 0.00593193880737 1 0.0128205128205
therefore 0 0.000936621916953 1 0.000312695434647
distortions 0 0.000312207305651 1 0.000625390869293
strike 0 0.0012488292226 1 0.00187617260788
until 0 0.00312207305651 1 0.00281425891182
suffocated 0 0.000624414611302 1 0.000312695434647
borstal 0 0.000624414611302 1 0.00093808630394
standardized 0 0.000312207305651 1 0.000625390869293
holy 0 0.000624414611302 1 0.000625390869293
populations 0 0.000312207305651 1 0.000625390869293
successful 0 0.00218545113956 1 0.00312695434647
brings 0 0.000936621916953 1 0.00406504065041
georgian 0 0.000624414611302 1 0.000625390869293
hurt 0 0.000624414611302 1 0.00125078173859
exuberantly 0 0.000312207305651 1 0.00093808630394
glass 0 0.00156103652825 1 0.00125078173859
holm 0 0.000312207305651 1 0.00125078173859
harmless 0 0.00218545113956 1 0.00125078173859
portentous 0 0.000624414611302 1 0.000312695434647
91 0 0.000624414611302 1 0.000312695434647
90 0 0.00624414611302 1 0.00125078173859
midst 0 0.000312207305651 1 0.000625390869293
hold 0 0.00249765844521 1 0.00281425891182
95 0 0.000624414611302 1 0.000625390869293
94 0 0.000624414611302 1 0.000625390869293
97 0 0.000624414611302 1 0.000312695434647
circumstances 0 0.000624414611302 1 0.000625390869293
fluidly 0 0.000312207305651 1 0.000625390869293
morally 0 0.000624414611302 1 0.000625390869293
locked 0 0.000312207305651 1 0.000625390869293
huppert 0 0.000312207305651 1 0.00250156347717
pursue 0 0.000312207305651 1 0.000625390869293
famed 0 0.000624414611302 1 0.000312695434647
accomplishment 0 0.000312207305651 1 0.000625390869293
straddle 0 0.000624414611302 1 0.000312695434647
minute厀ith 0 0.000312207305651 1 0.000625390869293
concepts 0 0.000624414611302 1 0.000312695434647
plunges 0 0.000312207305651 1 0.000625390869293
example 0 0.0012488292226 1 0.00156347717323
expressively 0 0.000312207305651 1 0.000625390869293
mindedness 0 0.000624414611302 1 0.000312695434647
categorisation 0 0.000312207305651 1 0.000625390869293
wang 0 0.000312207305651 1 0.00125078173859
wane 0 0.000624414611302 1 0.000312695434647
household 0 0.000624414611302 1 0.000312695434647
chasm 0 0.000312207305651 1 0.00093808630394
organized 0 0.000312207305651 1 0.000625390869293
dragons 0 0.0012488292226 1 0.000625390869293
bluescreen 0 0.000624414611302 1 0.000312695434647
arresting 0 0.000312207305651 1 0.00156347717323
stupidities 0 0.000624414611302 1 0.000312695434647
reviewing 0 0.000312207305651 1 0.000625390869293
want 0 0.00842959725258 1 0.00906816760475
gargantuan 0 0.000936621916953 1 0.000312695434647
absolute 0 0.000936621916953 1 0.00093808630394
preferably 0 0.000624414611302 1 0.000312695434647
provincial 0 0.000312207305651 1 0.000625390869293
aceitou 0 0.000624414611302 1 0.000312695434647
tchaikovsky 0 0.000312207305651 1 0.000625390869293
complaining 0 0.000624414611302 1 0.000312695434647
gremlins 0 0.000624414611302 1 0.000312695434647
travel 0 0.00156103652825 1 0.00187617260788
drying 0 0.000624414611302 1 0.000312695434647
feature 0 0.00655635341867 1 0.00844277673546
machine 0 0.00312207305651 1 0.000625390869293
how 0 0.0190446456447 1 0.0171982489056
hot 0 0.00343428036216 1 0.00093808630394
dangerfield 0 0.000624414611302 1 0.000312695434647
hos 0 0.000936621916953 1 0.000312695434647
retooled 0 0.000312207305651 1 0.000625390869293
significance 0 0.000312207305651 1 0.00093808630394
dignified 0 0.000624414611302 1 0.000312695434647
beauty 0 0.000936621916953 1 0.00406504065041
funny 0 0.0193568529504 1 0.0315822388993
assimilated 0 0.000312207305651 1 0.00093808630394
survivable 0 0.000312207305651 1 0.000625390869293
despondent 0 0.000624414611302 1 0.000625390869293
shores 0 0.000312207305651 1 0.000625390869293
wrong 0 0.00593193880737 1 0.00156347717323
spates 0 0.000312207305651 1 0.000625390869293
destined 0 0.000936621916953 1 0.00125078173859
turf 0 0.000936621916953 1 0.000312695434647
